date,realized_pnl,hs_var99,hs_es975,param_var99,param_es975,mc_var99,mc_es975,mc_df
2014-12-31,-662468.7071749637,1087556.914983855,1100609.7494664383,917455.0247059196,922244.1558056045,957617.5131629087,966741.8095945311,12.64180195794579
2015-01-02,132883.22078089943,1087556.914983855,1100609.7494664383,925767.1137517922,930584.2073568614,954387.8095162867,984650.2819408311,13.484358599065
2015-01-05,-407735.5417741851,1087556.914983855,1100609.7494664383,924455.3992084032,929271.1103464232,959070.9716450348,989305.6905076901,13.36242954994815
2015-01-06,20448.444051422834,1087556.914983855,1100609.7494664383,928729.2039535699,933550.2756640657,975040.035291292,970340.2668780946,13.73989169813501
2015-01-07,703568.1077049898,1087556.914983855,1100609.7494664383,927699.7077054878,932518.8564410204,941822.0076230702,952420.7244177853,13.61291696246518
2015-01-08,679250.3847290776,1087556.914983855,1100609.7494664383,929925.9809709784,934768.1949926752,1000442.3521476496,1031097.4803627484,14.204932768247506
2015-01-09,35606.07222036314,1087556.914983855,1100609.7494664383,928006.7045450783,932836.2302753662,907559.5107243983,927375.2309883491,14.118939359657524
2015-01-12,-219328.8895475229,1087556.914983855,1100609.7494664383,920701.8505614785,925507.9415297279,977541.2910669537,976308.5924216197,13.228427362523126
2015-01-13,-54192.11800738367,1087556.914983855,1100609.7494664383,921830.5167401913,926626.9127411986,977834.5340605173,972448.5211252711,13.098715493384212
2015-01-14,-183639.86326829187,1087556.914983855,1100609.7494664383,922722.332723521,927516.7887668821,974940.1624097271,967748.3486181613,13.092022705148725
2015-01-15,248992.10661108742,1087556.914983855,1100609.7494664383,924416.3864567527,929213.7579895599,935306.4761608158,942541.0552640484,13.272369711622533
2015-01-16,582148.821958309,1087556.914983855,1100609.7494664383,923583.2948025295,928382.3388641791,976139.6539973783,1011598.639499558,13.27627742261546
2015-01-20,741106.5772662775,1087556.914983855,1100609.7494664383,924728.7764919761,929543.1444338165,1011011.9543309124,1007489.2808769725,13.699637104660793
2015-01-21,184343.71530440712,1087556.914983855,1100609.7494664383,927299.3061233206,932139.3873312578,1005391.701029359,1012766.6523668814,14.330825517347403
2015-01-22,1028960.3233028762,1087556.914983855,1100609.7494664383,927156.2973184756,931997.1090254679,939630.8172227242,969004.8987225596,14.348397347157258
2015-01-23,28774.180001668625,1060465.3272371257,1063759.0504311114,914494.2298978787,919314.3805422747,982432.6321757821,997625.0107026895,14.663185263848847
2015-01-26,-174624.43226011316,1060465.3272371257,1063759.0504311114,904612.7219863374,909398.9829095898,913991.9518895926,931848.4344951315,13.613218245311458
2015-01-27,-767781.0673378818,1060465.3272371257,1063759.0504311114,906563.7804437154,911350.5197500376,985080.2399263995,995242.2858499254,13.729676129370961
2015-01-28,-312295.2914393648,1060465.3272371257,1063759.0504311114,915168.1879936983,919987.2439200244,975035.2564782249,973452.875824694,14.445628013305635
2015-01-29,-24537.402671300857,1060465.3272371257,1063759.0504311114,918405.9406650758,923227.5289805627,959185.3799081356,988543.7730333667,14.72415665626681
2015-01-30,-43315.117860123544,1060465.3272371257,1063759.0504311114,918505.9416292419,923327.6767133791,930184.0707478722,933198.7402843831,14.736650931872987
2015-02-02,500150.5199235537,1060465.3272371257,1037972.2764782625,902788.6820619056,907551.4442222249,979931.0169254078,991130.8379429617,14.14033533823396
2015-02-03,105406.74456638523,1060465.3272371257,1037972.2764782625,903529.7941741233,908301.1621587334,924414.2041792212,931875.5624728133,14.462235187559441
2015-02-04,-73265.20553514002,1060465.3272371257,1037972.2764782625,900149.2568994539,904912.3902096733,868185.450837,911420.6204647386,13.993129222887118
2015-02-05,282939.36527727696,1060465.3272371257,1037972.2764782625,898496.1978158937,903235.173442793,964332.0614258086,979778.4169506878,13.436842658842556
2015-02-06,-1216266.2945799753,1060465.3272371257,1037972.2764782625,893325.1709491209,898026.2182892542,935391.4534635756,981471.841716284,12.93807043378231
2015-02-09,-187013.9438255132,1172189.8408725166,1097730.2753666234,917100.8714402389,921890.7100409651,999200.043718974,1000578.1408732497,12.165039609478455
2015-02-10,313611.043712749,1172189.8408725166,1097730.2753666234,915496.1686042007,920258.7249740792,962736.0916999781,958430.9046982268,11.841866555270746
2015-02-11,-115420.06955600878,1172189.8408725166,1097730.2753666234,914589.9529162023,919355.5121777707,990696.6640150759,1012504.6511100648,11.87238642438292
2015-02-12,681453.8465310663,1172189.8408725166,1097730.2753666234,914541.7936086663,919293.3997228857,930827.5406464521,968432.2800123475,11.643296400779734
2015-02-13,231496.24740230007,1172189.8408725166,1097730.2753666234,915771.0927682588,920531.573698014,961937.5801766595,992465.0742630184,11.763829140901837
2015-02-17,-588125.8556922023,1172189.8408725166,1097730.2753666234,915650.472078694,920412.445480146,980134.0888153808,996907.9668687254,11.79374539894691
2015-02-18,219068.49298258673,1172189.8408725166,1097730.2753666234,914562.5882861475,919320.3311774839,912601.3102723658,929834.5561827355,11.743055264943678
2015-02-19,-182306.31302142693,1172189.8408725166,1097730.2753666234,914227.7768773473,918980.2718262892,954722.4321227479,982498.4925339178,11.625425766796008
2015-02-20,366948.91310485016,1172189.8408725166,1097730.2753666234,916029.5270645372,920784.604085279,910926.392900111,942214.6125457076,11.749944909483208
2015-02-23,219030.2162919624,1172189.8408725166,1097730.2753666234,916007.0212011867,920761.8497450304,1020303.4353560653,1023756.9563292022,11.74434912430102
2015-02-24,546814.690110594,1172189.8408725166,1097730.2753666234,915823.1944197686,920579.4717516965,988468.5389179524,998073.685777721,11.771430528097547
2015-02-25,69974.55755965084,1172189.8408725166,1097730.2753666234,916343.5393385573,921113.2334521937,979710.3485030184,991770.2495281517,12.041126659945872
2015-02-26,-227896.50778123373,1172189.8408725166,1097730.2753666234,914901.5335146836,919653.2720039504,997734.617404448,1004928.7678652259,11.689322653319309
2015-02-27,22849.490325444243,1172189.8408725166,1097730.2753666234,916248.4128099424,921003.6475439423,1028678.8465344292,1023632.5520459024,11.816833745097915
2015-03-02,-178078.57191029197,1172189.8408725166,1097730.2753666234,915773.1315478828,920527.7083145095,984023.7373481119,991814.2505749114,11.782836324538472
2015-03-03,-411406.95611447364,1172189.8408725166,1097730.2753666234,917590.3837470314,922344.9903214237,981936.8045295518,1002133.4447347256,11.85245669603604
2015-03-04,-352571.2057304388,1172189.8408725166,1097730.2753666234,922103.4232623589,926868.8453136323,992442.7157289088,1029831.3021299753,12.245746823631132
2015-03-05,6786.5475242744205,1172189.8408725166,1097730.2753666234,925630.228670834,930404.246961207,947696.8079913018,962198.6901498094,12.59541924784505
2015-03-06,-1780581.897833597,1172189.8408725166,1097730.2753666234,920329.863365835,925087.7104211155,922258.608336186,936228.6511878734,12.065574109463299
2015-03-09,387891.2023793126,1216266.2945799753,1233584.5433804845,963973.5818563527,968911.7878164486,1012326.1867160668,1065607.6477963703,8.037924458670856
2015-03-10,-837488.7009673007,1216266.2945799753,1233584.5433804845,962333.9613310916,967275.6171939407,1033243.8953638521,1024504.869507346,8.0335457514717
2015-03-11,-19520.826011928755,1216266.2945799753,1233584.5433804845,973700.295220366,978671.6718025364,1014385.5009966372,1015588.4803708192,8.242128090237717
2015-03-12,550214.7473860694,1216266.2945799753,1233584.5433804845,969892.0408367327,974852.5430515121,1062963.2069580203,1101831.59104068,8.117962625936459
2015-03-13,-448799.8227132575,1216266.2945799753,1233584.5433804845,970155.6332875264,975129.4799946313,1029011.9773198776,1031445.3917464344,8.19402367852405
2015-03-16,1004181.060546633,1216266.2945799753,1233584.5433804845,975029.7981937996,980014.5872008278,1015523.1088573418,1017186.111703147,8.336413665824226
2015-03-17,182784.7016335242,1216266.2945799753,1233584.5433804845,980286.2036990814,985305.5244577082,1027409.2889748093,1082127.7055184068,8.411563652692665
2015-03-18,1565027.2678439121,1216266.2945799753,1214268.5804936402,964856.8240469396,969822.9290627368,1016595.8294408091,1051818.7091673724,8.12905225291378
2015-03-19,-416652.6882869125,1216266.2945799753,1214268.5804936402,983701.0516442887,988786.7752298303,1065798.1280111808,1069944.1285206785,7.697842575922497
2015-03-20,842515.1193206068,1216266.2945799753,1214268.5804936402,987814.2071947766,992911.1138490381,1092148.6627100043,1093398.5493856065,7.795892563689005
2015-03-23,-2987.864168520996,1216266.2945799753,1214268.5804936402,988594.3526640176,993717.5235189275,1084690.9829457095,1138158.8633572212,7.893517684009566
2015-03-24,75793.27438653118,1216266.2945799753,1214268.5804936402,989223.978649411,994345.1793182587,1088980.2929510486,1137226.7006695024,7.884983207945824
2015-03-25,-1256831.2349401528,1216266.2945799753,1214268.5804936402,985490.714454673,990602.4595068541,1041311.1778897928,1064584.6799043433,7.795576485206432
2015-03-26,-528571.9016375975,1256831.2349401528,1274174.6567754762,1008121.2209197995,1013320.0260594679,1096338.308645655,1102566.8386229717,7.891766416881123
2015-03-27,430652.8164118569,1256831.2349401528,1274174.6567754762,1014058.5197486175,1019273.7744154652,1094769.433075983,1144054.7318582125,8.039248592526025
2015-03-30,486526.1601011648,1256831.2349401528,1274174.6567754762,1014416.548619591,1019636.6086900638,1038078.8568239348,1060020.718930422,8.073422826645913
2015-03-31,-456859.95820513176,1256831.2349401528,1274174.6567754762,1014700.0455162274,1019922.7800681788,1130427.996798389,1155664.8899233886,8.091632408903031
2015-04-01,493193.89816331014,1256831.2349401528,1274174.6567754762,1019568.9638862693,1024803.9261900719,1109178.9677150482,1180638.8105351743,8.218794007924949
2015-04-02,-37804.838293423876,1256831.2349401528,1274174.6567754762,1018439.8083695347,1023682.4058173797,1110641.0893921482,1123981.3494738708,8.2568986945838
2015-04-06,534326.8566866257,1256831.2349401528,1274174.6567754762,1012693.3139037283,1017917.8537172311,1131656.358817259,1157575.0822519409,8.093021234008546
2015-04-07,-29905.15464183553,1256831.2349401528,1274174.6567754762,1009141.8991358984,1014367.558359483,1097716.3431898754,1115399.227478033,8.061762535250184
2015-04-08,391209.0385306778,1256831.2349401528,1274174.6567754762,1008463.551603609,1013673.0133001846,1100083.0971288304,1122746.0977969684,7.965524158791486
2015-04-09,-74325.25561905379,1256831.2349401528,1274174.6567754762,1007069.0637407466,1012266.7535223758,1044507.9788772591,1076377.49990605,7.89627362192725
2015-04-10,457865.46310432523,1256831.2349401528,1242320.853022644,990503.1478575133,995638.6901860252,1118622.4672069054,1139819.5623248487,7.687890040654633
2015-04-13,-317687.8652446598,1256831.2349401528,1242320.853022644,987713.1612691835,992850.1529871515,1062819.4830007378,1083357.7904639242,7.671495182401304
2015-04-14,129137.1145354408,1256831.2349401528,1242320.853022644,990733.792095689,995871.2660455906,1073059.2053995146,1119499.334440911,7.699850124969931
2015-04-15,436917.193515411,1256831.2349401528,1242320.853022644,990228.2462759801,995365.8526001807,1070436.7152784457,1069154.4100668407,7.696412377534945
2015-04-16,-134658.5402177514,1256831.2349401528,1242320.853022644,988053.6076748787,993174.5403583121,1099503.165302311,1123036.6223979224,7.617128842848254
2015-04-17,-478822.218942398,1256831.2349401528,1242320.853022644,987176.0638567744,992294.610675846,1004867.7084948736,1055871.3337633642,7.596194527292602
2015-04-20,225006.617484231,1256831.2349401528,1242320.853022644,992423.0225033838,997555.8396649652,1040874.5786918121,1063238.4265716735,7.713378800116224
2015-04-21,80573.08735962833,1256831.2349401528,1242320.853022644,992394.8299352224,997526.1048746638,1050111.6735508142,1097652.084222312,7.703714402250608
2015-04-22,-224887.53699305115,1256831.2349401528,1242320.853022644,990814.3416625587,995942.9552058545,1048408.3533934719,1061005.1597570318,7.673736639403403
2015-04-23,440636.42642053135,1256831.2349401528,1242320.853022644,992801.3074937178,997927.3035364806,1061991.9311027853,1078692.5983395951,7.6758575330848124
2015-04-24,319009.01024707995,1256831.2349401528,1242320.853022644,986413.7875440398,991528.1408445331,1066534.6170705606,1096483.5733570915,7.5766981008538155
2015-04-27,162486.3946199559,1256831.2349401528,1242320.853022644,985952.7188782536,991070.6689283953,1051165.0071545364,1100662.7396655492,7.593943412944839
2015-04-28,-146521.6972301076,1256831.2349401528,1242320.853022644,985890.5362931767,991004.3558590829,1105125.100056577,1130716.6596570837,7.569882726044286
2015-04-29,-789412.2246116301,1256831.2349401528,1242320.853022644,987387.6550036166,992503.0186212775,1031249.1878657072,1058551.6092357982,7.591275266433971
2015-04-30,-995535.3503178902,1256831.2349401528,1242320.853022644,998435.632134027,1003584.1229841537,1059898.719013192,1077032.3172266695,7.787041880901238
2015-05-01,255617.62567968402,1256831.2349401528,1264898.945787014,1014151.4272562789,1019352.1554036551,1132983.724471079,1190333.905560168,8.012376067244539
2015-05-04,73756.95772371501,1256831.2349401528,1264898.945787014,1013945.4693315737,1019148.3655222813,1048336.3485685713,1085962.659562264,8.025629522322728
2015-05-05,-775659.0037824358,1256831.2349401528,1264898.945787014,1009958.1542071715,1015150.8603903899,1081828.3059571607,1133921.2038792425,7.923865630172315
2015-05-06,-825809.0370856774,1256831.2349401528,1264898.945787014,1019085.4974856547,1024310.525983441,1119455.2285747125,1124610.9623746562,8.136981253166518
2015-05-07,434755.8695679423,1256831.2349401528,1264898.945787014,1028821.5599158206,1034081.8422360452,1100045.6970968256,1121732.6759817265,8.368052489823201
2015-05-08,907274.6371165032,1256831.2349401528,1264898.945787014,1028706.318789436,1033974.3496627442,1142530.8816213375,1132106.042661709,8.423288072731687
2015-05-11,-990710.2779566085,1256831.2349401528,1264898.945787014,1030223.9557714454,1035501.8849460055,1128472.488172941,1125511.1874280856,8.448496504912967
2015-05-12,-21252.708566842997,1256831.2349401528,1264898.945787014,1045439.7123914065,1050768.0676541014,1136269.50211861,1157700.4433503435,8.742442206464066
2015-05-13,130479.70708141188,1256831.2349401528,1264898.945787014,1046100.6691945792,1051427.1796099301,1153444.0264199832,1184448.4071953597,8.73499062942153
2015-05-14,848322.9184402962,1256831.2349401528,1264898.945787014,1041588.5071626978,1046904.0827565934,1132182.1858616818,1155256.7306123618,8.59320488977035
2015-05-15,650300.2448126312,1256831.2349401528,1264898.945787014,1045317.6226546181,1050663.0944147892,1157356.8330416626,1151596.1004749546,8.778938508334761
2015-05-18,-346284.69989427284,1256831.2349401528,1264898.945787014,1046701.3367479662,1052065.0031493504,1131335.7633708306,1148325.767373963,8.9265882280474
