Date,SPY,QQQ,TLT,GLD,EEM
2014-01-02,148.19845581054688,78.95685577392578,72.48971557617188,118.0,30.618053436279297
2014-01-03,148.17417907714844,78.38687133789062,72.48971557617188,119.29000091552734,30.564733505249023
2014-01-06,147.7447509765625,78.09735107421875,72.79483032226562,119.5,30.275236129760742
2014-01-07,148.6521759033203,78.8211441040039,72.97929382324219,118.81999969482422,30.404739379882812
2014-01-08,148.68460083007812,78.99302673339844,72.7806396484375,118.12000274658203,30.30569839477539
2014-01-09,148.78176879882812,78.73068237304688,73.2063980102539,118.45999908447266,30.145709991455078
2014-01-10,149.1868438720703,78.98400115966797,74.07907104492188,120.26000213623047,30.678998947143555
2014-01-13,147.20196533203125,77.81687927246094,74.44798278808594,121.0199966430664,30.313322067260742
2014-01-14,148.80609130859375,79.30066680908203,74.10743713378906,119.88999938964844,30.640907287597656
2014-01-15,149.60818481445312,79.95208740234375,74.02938842773438,119.66000366210938,30.633285522460938
2014-01-16,149.41375732421875,79.96114349365234,74.52606201171875,119.79000091552734,30.465694427490234
2014-01-17,148.78176879882812,79.5087661743164,74.8382339477539,120.93000030517578,30.313322067260742
2014-01-21,149.2192840576172,80.11492156982422,74.89498901367188,119.69999694824219,30.267608642578125
2014-01-22,149.31654357910156,80.322998046875,74.7104721069336,119.19000244140625,30.6713809967041
2014-01-23,148.0931396484375,80.05162811279297,75.76766967773438,121.79000091552734,29.917165756225586
2014-01-24,144.93345642089844,78.47734069824219,76.2572250366211,122.29000091552734,29.13248062133789
2014-01-27,144.220458984375,77.71737670898438,75.72511291503906,120.95999908447266,29.01820945739746
2014-01-28,145.0792694091797,77.67212677001953,75.9095458984375,120.94999694824219,29.201045989990234
2014-01-29,143.68576049804688,76.83975982666016,76.53388977050781,122.47000122070312,28.782028198242188
2014-01-30,145.2089080810547,78.26020812988281,76.31397247314453,119.7699966430664,29.04867935180664
2014-01-31,144.3582305908203,78.0521011352539,76.82479858398438,120.08999633789062,29.094385147094727
2014-02-03,141.10940551757812,76.2607192993164,77.76093292236328,121.31999969482422,28.27161407470703
2014-02-04,142.0977783203125,76.82166290283203,76.93577575683594,120.98999786376953,28.842987060546875
2014-02-05,141.9196014404297,76.62262725830078,76.2244644165039,121.29000091552734,28.736330032348633
2014-02-06,143.7910919189453,77.59974670410156,75.89726257324219,121.23999786376953,29.338171005249023
2014-02-07,145.573486328125,78.98400115966797,75.96126556396484,122.16999816894531,29.50577735900879
